respondent_id,cluster,max_probability,confidence_category
332,1,0.43717599267071783,Low
333,2,0.6389205567569357,Moderate
334,1,0.7195074997186358,Moderate
335,1,0.734671970869704,Moderate
336,2,0.8430831362264579,High
337,1,0.7651482130407031,Moderate
338,4,0.7815156715461796,Moderate
339,3,0.9977323394048332,High
340,2,0.527356027067142,Moderate
341,1,0.7644122888735252,Moderate
342,1,0.8030282693889389,High
343,2,0.4910426099985119,Low
344,0,0.9978159173267672,High
345,4,0.6210868189104105,Moderate
346,1,0.40015528626494434,Low
347,4,0.9557510680597504,High
348,4,0.8823660607291355,High
349,2,0.8657106935782591,High
350,4,0.5072029535997886,Moderate
351,4,0.7752000814541214,Moderate
352,4,0.579863080423672,Moderate
353,2,0.779248476093845,Moderate
354,4,0.5474246269592992,Moderate
355,4,0.7857268149463106,Moderate
356,4,0.6341075014698752,Moderate
357,4,0.42327910049862166,Low
358,1,0.706170364566854,Moderate
359,1,0.6361517021608896,Moderate
360,2,0.6544787106806302,Moderate
361,4,0.8723871158826795,High
362,3,0.9977349021325272,High
363,4,0.8998198035807318,High
364,3,0.9972229293410457,High
365,1,0.7484594054179212,Moderate
366,4,0.557913298494169,Moderate
367,4,0.6454304761050625,Moderate
368,4,0.9566655148874172,High
369,2,0.7219021301339422,Moderate
370,1,0.6745522686679651,Moderate
371,4,0.5563275262721811,Moderate
372,1,0.42436002091535324,Low
373,4,0.6163627172307184,Moderate
374,0,0.9983194971894362,High
375,2,0.3888266721596944,Low
376,1,0.8092521527791458,High
377,1,0.6092089438169944,Moderate
378,4,0.695359218283339,Moderate
379,1,0.6795691236120399,Moderate
380,2,0.5303836448735417,Moderate
381,0,0.9982061995100365,High
382,4,0.9029825108610625,High
383,4,0.761879050404249,Moderate
384,4,0.6246753557984632,Moderate
385,4,0.4248961894571779,Low
386,1,0.676957578095708,Moderate
387,4,0.7852693167291624,Moderate
388,3,0.9981476516206932,High
389,4,0.4221064487887288,Low
390,2,0.5452820307335611,Moderate
391,4,0.9107664314498303,High
392,2,0.4175372481216759,Low
393,4,0.7355337626661708,Moderate
394,1,0.4842916005632718,Low
395,2,0.818920574901792,High
396,4,0.4958318449246127,Low
397,0,0.9969557287899381,High
398,2,0.8850088386484211,High
399,2,0.8244697527004531,High
400,2,0.6449391207093789,Moderate
401,4,0.9598865104787428,High
402,4,0.8568330269384715,High
403,4,0.6431912021443112,Moderate
404,0,0.9973436541520292,High
405,4,0.9902382399229686,High
406,3,0.99808027538613,High
407,4,0.7557189364946825,Moderate
408,2,0.731495066133668,Moderate
409,1,0.510941354495546,Moderate
410,1,0.5067485309134496,Moderate
411,2,0.432444654236181,Low
412,4,0.5565934981547682,Moderate
413,4,0.9402618645699533,High
414,1,0.4035750546751914,Low
415,1,0.5749104801314087,Moderate
416,2,0.5316716398183762,Moderate
417,1,0.3804633695276715,Low
418,0,0.9977029473314768,High
419,1,0.579684056946359,Moderate
420,4,0.513413130130337,Moderate
421,4,0.5085378620978955,Moderate
422,4,0.8846097386275076,High
423,4,0.5483547893518728,Moderate
424,1,0.5059533848268528,Moderate
425,1,0.7393275185811069,Moderate
426,1,0.7274706759601887,Moderate
427,1,0.5238631445214136,Moderate
428,2,0.7457931252378706,Moderate
429,2,0.4672702624125629,Low
430,4,0.6296234872401024,Moderate
431,1,0.5105972486936532,Moderate
